jenis_kelamin,pemilik_mobil,pemilik_properti,anak,pendapatan_tahunan,jenis_pendapatan,pendidikan,status_perkawinan,jenis_rumah,usia,pengalaman_kerja,telepon_seluler,telepon_kerja,telepon,ID_email,anggota_keluarga
M,Y,Y,2,250000,Working,Higher education,Married,House / apartment,40,15,1,1,1,1,4
F,N,Y,0,80000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,28,5,1,1,0,1,1
M,Y,Y,1,300000,State servant,Academic degree,Married,House / apartment,45,20,1,1,1,1,3
F,N,N,0,60000,Working,Incomplete higher,Separated,With parents,25,3,1,0,1,1,2
M,Y,Y,2,400000,Commercial associate,Higher education,Married,House / apartment,50,25,1,1,1,1,4
F,Y,Y,1,180000,Working,Higher education,Married,House / apartment,35,10,1,1,1,1,3
M,N,Y,0,110000,Pensioner,Higher education,Widow,House / apartment,65,40,1,0,1,1,1
F,Y,Y,1,220000,Commercial associate,Academic degree,Married,Co-op apartment,38,12,1,1,1,1,3
M,Y,N,1,70000,Working,Incomplete higher,Single / not married,Rented apartment,27,4,1,1,0,1,2
F,Y,Y,0,280000,State servant,Higher education,Married,House / apartment,42,18,1,1,1,1,2
